_id,BlockID,CheckweigherResultAvg,DateCreate,OriginCheckpointID,ProductComposite,ProductID,Size,Style,Content
11711045,102LMLI,34.86666742960612,2022-12-26 16:42:51.315,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711044,102LMLI,35.20000076293945,2022-12-26 16:43:13.865,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727082,102LMLI,37.74000091552735,2022-12-26 16:43:21.313,19.0,p34::s75::kPLACE,34,75,PLACE,
11711092,102LMLI,34.97500038146973,2022-12-26 16:43:38.078,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727028,102LMLI,30.400000254313152,2022-12-26 16:44:02.088,38.0,p34::s95::kPLACE,34,95,PLACE,
11727021,102LMLI,27.566666920979817,2022-12-26 16:44:08.437,38.0,p34::s95::kPLACE,34,95,PLACE,
11711093,102LMLI,35.20000076293945,2022-12-26 16:44:18.118,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711091,102LMLI,37.70000076293945,2022-12-26 16:44:42.211,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727091,102LMLI,36.16000061035156,2022-12-26 16:45:02.629,,p34,34,,,
11711090,102LMLI,35.45000076293945,2022-12-26 16:45:04.267,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711067,102LMLI,34.70000076293945,2022-12-26 16:45:27.323,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727030,102LMLI,33.250000953674316,2022-12-26 16:45:38.239,38.0,p32::s95::cBAGS,32,95,,BAGS
11714025,102LMLI,38.650001525878906,2022-12-26 16:45:50.781,26.0,p32::s115::cBAGS,32,115,,BAGS
11727069,102LMLI,40.00000152587891,2022-12-26 16:45:52.174,,p34,34,,,
11714080,102LMLI,37.94000015258789,2022-12-26 16:45:53.730,,p34,34,,,
11711068,102LMLI,34.84000091552734,2022-12-26 16:46:15.637,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711056,102LMLI,35.00000190734863,2022-12-26 16:46:38.150,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711057,102LMLI,35.02500057220459,2022-12-26 16:46:58.645,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711058,102LMLI,35.03333409627279,2022-12-26 16:47:20.907,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727098,102LMLI,37.62000045776367,2022-12-26 16:47:29.984,,p34,34,,,
11714033,102LMLI,42.380001068115234,2022-12-26 16:47:30.843,,p32::cBAGS,32,,,BAGS
11727079,102LMLI,38.27500057220459,2022-12-26 16:47:32.075,19.0,p32::s75,32,75,,
11727010,102LMLI,37.500000953674316,2022-12-26 16:47:33.948,,p32::cBAGS,32,,,BAGS
11714001,102LMLI,38.525001525878906,2022-12-26 16:47:37.153,23.0,p34::s75,34,75,,
11727090,102LMLI,38.6000010172526,2022-12-26 16:47:41.272,,p34,34,,,
