_id,PK,Code,BlockID,CheckpointID,DateCreate,ProductComposite,ProductID,Size,Style,Content,OriginCheckpointID,PrintSize,FruitCount,CheckweigherResultAvg,DataMatrixExists,PTIExists,ProductName
63ab8719b217eb880360e468,361::2022::16186030,16186030,SPMASHDH,101,2022-12-28 00:00:10.522,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,33.0,8/28,28.0,19.77500009536743,True,False,Big Kahuna SLE
63ab871eb217eb880360e492,361::2022::16184321,16184321,SPMASHDH,101,2022-12-28 00:00:15.696,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,18.620000457763673,True,False,Big Kahuna SLE
63ab871fb217eb880360e49b,361::2022::973f8f22b4,None,SPMASHDH,209,2022-12-28 00:00:18.878,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8721b217eb880360e4b5,361::2022::16186029,16186029,SPMASHDH,101,2022-12-28 00:00:19.981,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,32.0,7/25,25.0,18.333333651224773,True,False,Big Kahuna SLE
63ab8726b217eb880360e4d7,361::2022::16188294,16188294,SPMASHDH,101,2022-12-28 00:00:24.569,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,16.366666793823242,True,False,Big Kahuna SLE
63ab8729b217eb880360e4e2,361::2022::16188287,16188287,SPMASHDH,101,2022-12-28 00:00:26.199,p44::s6::k18# TRAY::cTRAY,44.0,6,18# TRAY,TRAY,171.0,6/22,22.0,17.86666742960612,True,False,Big Kahuna SLE
63ab8729b217eb880360e4e7,361::2022::16186025,16186025,SPMASHDH,101,2022-12-28 00:00:27.856,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.700000762939453,True,False,Big Kahuna SLE
63ab872eb217eb880360e504,361::2022::16188286,16188286,SPMASHDH,101,2022-12-28 00:00:32.020,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,16.450000286102295,True,False,Big Kahuna SLE
63ab8736b217eb880360e53f,361::2022::16188296,16188296,SPMASHDH,101,2022-12-28 00:00:39.799,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,17.075000286102295,True,False,Big Kahuna SLE
63ab873bb217eb880360e56d,361::2022::12174612,12174612,SPMASHDH,101,2022-12-28 00:00:45.043,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,28.0,8/28,28.0,19.55000066757202,True,False,Big Kahuna SLE
63ab8740b217eb880360e595,361::2022::6147ec6ea6,None,SPMASHDH,209,2022-12-28 00:00:50.448,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8744b217eb880360e5b8,361::2022::16188289,16188289,SPMASHDH,101,2022-12-28 00:00:54.067,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.65000009536743,True,False,Big Kahuna SLE
63ab8745b217eb880360e5c1,361::2022::16184327,16184327,SPMASHDH,101,2022-12-28 00:00:55.708,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,16.375,True,False,Big Kahuna SLE
63ab874cb217eb880360e5ed,361::2022::16184322,16184322,SPMASHDH,101,2022-12-28 00:01:01.701,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,16.875000953674316,True,False,Big Kahuna SLE
63ab874fb217eb880360e60a,361::2022::16188285,16188285,SPMASHDH,101,2022-12-28 00:01:06.324,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,36.0,8/28,28.0,17.160000610351563,True,False,Big Kahuna SLE
63ab875bb217eb880360e657,361::2022::80ca768850,None,SPMASHDH,209,2022-12-28 00:01:18.448,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab875db217eb880360e663,361::2022::df9b0ca8ed,None,SPMASHDH,209,2022-12-28 00:01:19.877,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8764b217eb880360e695,361::2022::16186031,16186031,SPMASHDH,101,2022-12-28 00:01:27.414,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,32.0,7/25,25.0,19.533334096272785,True,False,Big Kahuna SLE
63ab8766b217eb880360e69e,361::2022::16188279,16188279,SPMASHDH,101,2022-12-28 00:01:27.159,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.400000890096027,True,False,Big Kahuna SLE
63ab876cb217eb880360e6c9,361::2022::16186035,16186035,SPMASHDH,101,2022-12-28 00:01:34.269,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,19.8000005086263,True,False,Big Kahuna SLE
63ab8771b217eb880360e6ee,361::2022::16188297,16188297,SPMASHDH,101,2022-12-28 00:01:39.658,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,17.93333371480306,True,False,Big Kahuna SLE
63ab8773b217eb880360e701,361::2022::16188295,16188295,SPMASHDH,101,2022-12-28 00:01:41.291,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,36.0,8/28,28.0,16.55000066757202,True,False,Big Kahuna SLE
63ab8774b217eb880360e70c,361::2022::16184330,16184330,SPMASHDH,101,2022-12-28 00:01:42.929,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,18.050000190734863,True,False,Big Kahuna SLE
63ab877fb217eb880360e75c,361::2022::16188300,16188300,SPMASHDH,101,2022-12-28 00:01:53.966,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.360000610351562,True,False,Big Kahuna SLE
63ab8781b217eb880360e769,361::2022::16184326,16184326,SPMASHDH,101,2022-12-28 00:01:55.604,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,18.550000190734863,True,False,Big Kahuna SLE
63ab8784b217eb880360e779,361::2022::734aea1c85,None,SPMASHDH,209,2022-12-28 00:01:58.863,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8786b217eb880360e78f,361::2022::16188290,16188290,SPMASHDH,101,2022-12-28 00:02:01.027,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,16.875000476837158,True,False,Big Kahuna SLE
63ab8789b217eb880360e79f,361::2022::12174620,12174620,SPMASHDH,101,2022-12-28 00:02:02.660,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,17.460000419616698,True,False,Big Kahuna SLE
63ab878bb217eb880360e7b1,361::2022::4f9e220b75,None,SPMASHDH,209,2022-12-28 00:02:05.890,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab878fb217eb880360e7c9,361::2022::12174622,12174622,SPMASHDH,101,2022-12-28 00:02:08.808,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,17.400000381469727,True,False,Big Kahuna SLE
63ab8796b217eb880360e803,361::2022::12174624,12174624,SPMASHDH,101,2022-12-28 00:02:15.859,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,17.00000023841858,True,False,Big Kahuna SLE
63ab8797b217eb880360e80e,361::2022::fa403df514,None,SPMASHDH,209,2022-12-28 00:02:18.160,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab879bb217eb880360e829,361::2022::16186038,16186038,SPMASHDH,101,2022-12-28 00:02:20.778,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,32.0,7/25,25.0,19.375000476837158,True,False,Big Kahuna SLE
63ab879db217eb880360e836,361::2022::12174623,12174623,SPMASHDH,101,2022-12-28 00:02:22.840,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,,7/25,25.0,16.900000381469727,True,False,Big Kahuna SLE
63ab879eb217eb880360e841,361::2022::16184333,16184333,SPMASHDH,101,2022-12-28 00:02:24.495,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,16.32000026702881,True,False,Big Kahuna SLE
63ab87a3b217eb880360e861,361::2022::16186036,16186036,SPMASHDH,101,2022-12-28 00:02:28.589,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,33.0,8/28,28.0,19.40000009536743,True,False,Big Kahuna SLE
63ab87a3b217eb880360e862,361::2022::e0d06bf42f,None,SPMASHDH,209,2022-12-28 00:02:29.263,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87a4b217eb880360e86f,361::2022::12174621,12174621,SPMASHDH,101,2022-12-28 00:02:30.236,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,17.550000190734863,True,False,Big Kahuna SLE
63ab87a9b217eb880360e88f,361::2022::16188302,16188302,SPMASHDH,101,2022-12-28 00:02:34.607,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,17.566666920979817,True,False,Big Kahuna SLE
63ab87abb217eb880360e8a0,361::2022::16186034,16186034,SPMASHDH,101,2022-12-28 00:02:37.917,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,32.0,8/28,28.0,18.425000190734863,True,False,Big Kahuna SLE
63ab87bab217eb880360e90b,361::2022::5ab6e5fb87,None,SPMASHDH,209,2022-12-28 00:02:52.396,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87bbb217eb880360e91c,361::2022::16184331,16184331,SPMASHDH,101,2022-12-28 00:02:53.992,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,18.08000030517578,True,False,Big Kahuna SLE
63ab87c3b217eb880360e950,361::2022::ba8094d497,None,SPMASHDH,209,2022-12-28 00:03:01.542,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87c7b217eb880360e971,361::2022::eb6d5fa1e8,None,SPMASHDH,209,2022-12-28 00:03:06.712,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87cab217eb880360e980,361::2022::12174615,12174615,SPMASHDH,101,2022-12-28 00:03:07.565,p44::s6::k18# TRAY::cTRAY,44.0,6,18# TRAY,TRAY,29.0,6/22,22.0,19.34999990463257,True,False,Big Kahuna SLE
63ab87d6b217eb880360e9e3,361::2022::1e99bc0a5d,None,SPMASHDH,209,2022-12-28 00:03:21.698,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
